filename,target
shirt_63.jpg,6
shirt_77.jpg,6
shirt_88.jpg,6
shirt_89.jpg,6
shirt_76.jpg,6
shirt_62.jpg,6
shirt_74.jpg,6
shirt_60.jpg,6
shirt_48.jpg,6
shirt_49.jpg,6
shirt_61.jpg,6
shirt_75.jpg,6
shirt_59.jpg,6
shirt_71.jpg,6
shirt_65.jpg,6
shirt_64.jpg,6
shirt_70.jpg,6
shirt_58.jpg,6
shirt_8.jpg,6
shirt_66.jpg,6
shirt_72.jpg,6
shirt_99.jpg,6
shirt_98.jpg,6
shirt_73.jpg,6
shirt_67.jpg,6
shirt_9.jpg,6
shirt_14.jpg,6
shirt_28.jpg,6
shirt_29.jpg,6
shirt_15.jpg,6
shirt_17.jpg,6
shirt_16.jpg,6
shirt_12.jpg,6
shirt_13.jpg,6
shirt_39.jpg,6
shirt_11.jpg,6
shirt_10.jpg,6
shirt_38.jpg,6
shirt_21.jpg,6
shirt_35.jpg,6
shirt_34.jpg,6
shirt_20.jpg,6
shirt_36.jpg,6
shirt_22.jpg,6
shirt_23.jpg,6
shirt_37.jpg,6
shirt_33.jpg,6
shirt_27.jpg,6
shirt_26.jpg,6
shirt_32.jpg,6
shirt_18.jpg,6
shirt_24.jpg,6
shirt_30.jpg,6
shirt_31.jpg,6
shirt_25.jpg,6
shirt_19.jpg,6
shirt_42.jpg,6
shirt_4.jpg,6
shirt_56.jpg,6
shirt_81.jpg,6
shirt_95.jpg,6
shirt_94.jpg,6
shirt_80.jpg,6
shirt_5.jpg,6
shirt_57.jpg,6
shirt_43.jpg,6
shirt_55.jpg,6
shirt_7.jpg,6
shirt_41.jpg,6
shirt_69.jpg,6
shirt_96.jpg,6
shirt_82.jpg,6
shirt_83.jpg,6
shirt_97.jpg,6
shirt_68.jpg,6
shirt_40.jpg,6
shirt_54.jpg,6
shirt_6.jpg,6
shirt_78.jpg,6
shirt_2.jpg,6
shirt_50.jpg,6
shirt_44.jpg,6
shirt_93.jpg,6
shirt_87.jpg,6
shirt_86.jpg,6
shirt_92.jpg,6
shirt_45.jpg,6
shirt_3.jpg,6
shirt_51.jpg,6
shirt_79.jpg,6
shirt_47.jpg,6
shirt_53.jpg,6
shirt_1.jpg,6
shirt_84.jpg,6
shirt_90.jpg,6
shirt_91.jpg,6
shirt_85.jpg,6
shirt_52.jpg,6
shirt_0.jpg,6
shirt_46.jpg,6
pullover_63.jpg,2
pullover_77.jpg,2
pullover_88.jpg,2
pullover_89.jpg,2
pullover_76.jpg,2
pullover_62.jpg,2
pullover_74.jpg,2
pullover_60.jpg,2
pullover_48.jpg,2
pullover_49.jpg,2
pullover_61.jpg,2
pullover_75.jpg,2
pullover_59.jpg,2
pullover_71.jpg,2
pullover_65.jpg,2
pullover_64.jpg,2
pullover_70.jpg,2
pullover_58.jpg,2
pullover_8.jpg,2
pullover_66.jpg,2
pullover_72.jpg,2
pullover_99.jpg,2
pullover_98.jpg,2
pullover_73.jpg,2
pullover_67.jpg,2
pullover_9.jpg,2
pullover_14.jpg,2
pullover_28.jpg,2
pullover_29.jpg,2
pullover_15.jpg,2
pullover_17.jpg,2
pullover_16.jpg,2
pullover_12.jpg,2
pullover_13.jpg,2
pullover_39.jpg,2
pullover_11.jpg,2
pullover_10.jpg,2
pullover_38.jpg,2
pullover_21.jpg,2
pullover_35.jpg,2
pullover_34.jpg,2
pullover_20.jpg,2
pullover_36.jpg,2
pullover_22.jpg,2
pullover_23.jpg,2
pullover_37.jpg,2
